ServiceName,ServiceCode,GeneratedLink,Description,Procedures,TargetAudience,ServiceTime,ServiceFee,ServiceLocation,ServiceContact,SDGoals,title,name,path,keywords,ServiceUrl,IconFileUrl,DescriptionTrimmed,ServiceID
Issue a Faculty ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-FACULTY-ID,,Replace the faculty university ID card in case of lost or damage.,"1. Click Login. 
2. Use your ZU ID and password. 
3. Click Start. 
4. In case you have a comment, please write it in the comment box. 
5. Submit. 
6. You will receive automatic email with payment instructions link. 
7. When you click in the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Campus Physical Development & Services Department will start the service. 
10. Campus Physical Development & Services Department will send you a notification that the document is ready for collection from the Lost & Found Office (Location- ADM-0-048)
",['3'],2 Working Days,AED 52.5 including VAT,"Campus Physical Development & Services Department - Abu Dhabi
Admin building First Floor
","Abu Dhabi: Campus Physical Development & Services Department
FacilitiesAuh@zu.ac.ae
CPDO Reception 02599-3222
","Goal 11: Make cities inclusive, safe, resilient and sustainable. 
Goal 12: Ensure sustainable consumption and production patterns. 
Several sustainable development goals are embedded within the services of Campus Physical Development & Services Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Locker registration, car Registration, Lost & Found, Online print request etc. have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 
",Issue a Faculty ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-FACULTY-ID,NA,Issue a Faculty ID Card as a replacement (Abu Dhabi Campus Only),https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Faculty-ID-Card-as-a-replacement--Abu-Dhabi-Campus-Only-,https://eservices.zu.ac.ae/Content/Icons/cf0c5ac0-a187-40fc-b6e7-c3322147745d.png,Replace the faculty university ID card in case of lost or damage,68
Issue a Graduate Confirmation Letter – Digital ,Reg-10-D,,Issuing a Graduate Confirmation Letter upon the request of expected graduate student.,"Go to the service: 

1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. Admissions & Registration Department will issue the Graduate Confirmation Letter.
7. Admissions & Registration Department will send you an email with digital document.
",['7'],•	The average time for application submission: 10 minutes   •	The average time to issue the certificate:  2 working days,No fee required,"•	Admissions & Registration Department at Zayed University - Abu Dhabi Campus
•	Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  

",Issue a Graduate Confirmation Letter – Digital ,Reg-10-D,NA,Issue a Graduate Confirmation Letter – Digital ,https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Graduate-Confirmation-Letter---Digital-,https://eservices.zu.ac.ae/Content/Icons/f6d33e12-bd2c-454b-8a33-6a81d75a3ef0.png,Issuing a Graduate Confirmation Letter upon the request of expected graduate student,66
Issue a Graduation Degree Certificate as a replacement,Reg-02,,"Issuing the replacement of the graduate degree certificate in case it's lost, damaged or has a typo error.","(Please before starting the service, hand the original passport, passport copy, and court letter if needed to the Admissions & Registration Department. The Staff will verify and take the copy only)
 
1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. You will receive automatic email with payment instructions link.
7. When you click on the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Admissions & Registration department will start the service. 
10. Admissions & Registration department will send you a notification that the document is ready for collection from the Registration Office.
",['5'], •	The average time for application submission: 5 minutes      •	The average time to issue the document: 5 working days for Replacement of any lost original diploma and one month for the digital diploma.,AED 157.50 ,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: RegistrarAuh[@]zu.ac.ae. or RegistrarDxb[@]zu.ac.ae.,,Issue a Graduation Degree Certificate as a replacement,Reg-02,NA,Issue a Graduation Degree Certificate as a replacement,https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Graduation-Degree-Certificate-as-a-replacement,https://eservices.zu.ac.ae/Content/Icons/0ec23a40-a9a6-4b05-a0d7-5603f23921b4.png,"Issuing the replacement of the graduate degree certificate in case its lost, damaged or has a typo e...",72
Issue a staff ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-STAFF-ID,,Replace the staff university ID card in case of lost or damage.,"1. Click Login. 
2. Use your ZU ID and password. 
3. Click Start. 
4. In case you have a comment, please write it in the comment box. 
5. Submit. 
6. You will receive automatic email with payment instructions link. 
7. When you click in the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Campus Physical Development & Services Department will start the service. 
10. Campus Physical Development & Services Department will send you a notification that the document is ready for collection from the Lost & Found Office (Location- ADM-0-048)
",['3'],2 Working Days,AED 52.5 including VAT,"Campus Physical Development & Services Department - Abu Dhabi
Admin building First Floor
","Abu Dhabi: Campus Physical Development & Services Department
FacilitiesAuh@zu.ac.ae
CPDO Reception 02599-3222
","Goal 11: Make cities inclusive, safe, resilient and sustainable. 
Goal 12: Ensure sustainable consumption and production patterns. 
Several sustainable development goals are embedded within the services of Campus Physical Development & Services Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Locker registration, car Registration, Lost & Found, Online print request etc. have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 
",Issue a staff ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-STAFF-ID,NA,Issue a staff ID Card as a replacement (Abu Dhabi Campus Only),https://eservices.zu.ac.ae/Service/en/Card/Issue-a-staff-ID-Card-as-a-replacement--Abu-Dhabi-Campus-Only-,https://eservices.zu.ac.ae/Content/Icons/c3b63fcc-b214-4a34-b390-e09f3b116ba9.png,Replace the staff university ID card in case of lost or damage,61
Issue a Student ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-STUDENT-ID,,Replace the student university ID card in case of lost or damage.,"1. Click Login. 
2. Use your ZU ID and password. 
3. Click Start. 
4. In case you have a comment, please write it in the comment box. 
5. Submit. 
6. You will receive automatic email with payment instructions link. 
7. When you click in the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Campus Physical Development & Services Department will start the service. 
10. Campus Physical Development & Services Department will send you a notification that the document is ready for collection from the Lost & Found Office (Location- ADM-0-048)
",['7'],2 Working Days,AED 52.5 including VAT,"Campus Physical Development & Services Department - Abu Dhabi
Admin building First Floor
","Abu Dhabi: Campus Physical Development & Services Department
FacilitiesAuh@zu.ac.ae
CPD Reception 02599-3222
","Goal 11: Make cities inclusive, safe, resilient and sustainable. 
Goal 12: Ensure sustainable consumption and production patterns. 
Several sustainable development goals are embedded within the services of Campus Physical Development & Services Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Locker registration, car Registration, Lost & Found, Online print request etc. have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 
",Issue a Student ID Card as a replacement (Abu Dhabi Campus Only),ZU-AUH-STUDENT-ID,NA,Issue a Student ID Card as a replacement (Abu Dhabi Campus Only),https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Student-ID-Card-as-a-replacement--Abu-Dhabi-Campus-Only-,https://eservices.zu.ac.ae/Content/Icons/5cb5c1fa-6cf5-4bd2-bd4b-0dd3faabae7f.png,Replace the student university ID card in case of lost or damage,31
Issue a Student ID Card as a replacement (Dubai Campus Only) ,Reg-04,,Replace the student university ID card in case of lost or damage,"1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. You will receive automatic email with payment instructions link.
7. When you click in the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance department and Admissions & Registration Department will start the service. 
10. Admissions & Registration Department will send you a notification that the document is ready for collection from the Registration Office.
",['7'],•	The average time for application submission: 5 minutes     •	The average time to issue the certificate:  2 working days,AED 52.5 including VAT,"Admissions & Registration Department at Zayed University - Dubai Campus
",Abu Dhabi: Campus Physical Development & Services Department - Dubai: Admissions & Registration Department: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  ",Issue a Student ID Card as a replacement (Dubai Campus Only) ,Reg-04,NA,Issue a Student ID Card as a replacement (Dubai Campus Only) ,https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Student-ID-Card-as-a-replacement--Dubai-Campus-Only--,https://eservices.zu.ac.ae/Content/Icons/7a3c3f14-6153-4613-939e-a538ed592e2a.png,Replace the student university ID card in case of lost or damage,67
Issue an English Proficiency Letter – Digital ,Reg-09-D,,Issuing an English Proficiency Letter upon the alumni's request,"Go to the service: 

1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. Admissions & Registration Department will issue the English Proficiency Letter.
7. Admissions & Registration Department will send you an email with digital document.
",['5'],• The average time for application submission: 10 minutes   • The average time to issue the certificate:  2 working days,No fee required,"• Admissions & Registration Department at Zayed University - Abu Dhabi Campus
• Admissions & Registration Department at Zayed University - Dubai Campus",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 -  Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 

",Issue an English Proficiency Letter – Digital ,Reg-09-D,NA,Issue an English Proficiency Letter – Digital ,https://eservices.zu.ac.ae/Service/en/Card/Issue-an-English-Proficiency-Letter---Digital-,https://eservices.zu.ac.ae/Content/Icons/39c1bd7f-62d1-4f0c-a34c-a072a56234a4.png,Issuing an English Proficiency Letter upon the alumnis request,63
Issue Graduation Degree Certificate– Digital PDF,Reg-12-D,,"Issuing a graduation degree certificate – Digital ""PDF"" upon the alumni's request","1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department will issue the digital certificate
7. Admissions & Registration Department will send you an email with digital document
",['5'],•	The average time for application submission: 10 minutes   •	The average time to issue the certificate:  5 working days,No fee required ,"•	Admissions & Registration Department at Zayed University - Abu Dhabi Campus
•	Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  
ا

",Issue Graduation Degree Certificate– Digital PDF,Reg-12-D,NA,Issue Graduation Degree Certificate– Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Issue-Graduation-Degree-Certificate--Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/8c2936fe-1f78-436e-872c-3a67cfc4d26b.png,"Issuing a graduation degree certificate – Digital ""PDF"" upon the alumnis request",64
Issuing To Whom It May Concern Certificate Regarding not receiving Financial Aid-Digital PDF,FA-02,,Issuing “To Whom It May Concern” digital certificate regarding not receiving Financial Aid upon student’s request to certify he/she is not receiving Financial Aid from the university.,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. Please write the name of Organization that requested the certificate in the comment box.
5. Submit
6. Student Support Unit will issue the certificate.
7. Student Support Unit will send you an email with the certificate attached as a file.
",['7'],The average time for application submission: 5 minutes /The average time to issue the digital document: 2 working days,N/A,e-Service,Submit your inquiries to: https://fa.zu.ac.ae/Enquiries/EnquirySurvey?f=1,Financial aid services provided by Zayed University ensures inclusivity and equitable quality education and ensure lifelong learning opportunities for students who come from low-income family.,Issuing To Whom It May Concern Certificate Regarding not receiving Financial Aid-Digital PDF,FA-02,NA,Issuing To Whom It May Concern Certificate Regarding not receiving Financial Aid-Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Issuing-To-Whom-It-May-Concern-Certificate-Regarding-not-receiving-Financial-Aid-Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/4fe5c0ea-c1db-4356-a85c-31743dbaeccb.png,Issuing “To Whom It May Concern” digital certificate regarding not receiving Financial Aid upon stud...,86
IT Equipment Request,IT 002,https://zuportal.zu.ac.ae/sites/CSD/cs/IT%20Equipment%20Requests%20Library/Forms/template.xsn ,"Request for additional IT equipment (Laptops, Monitors, etc) for more than 3 business days.","Fill the details on IT Equipment Request form available on zuportal http://zuportal.zu.ac.ae under E-Forms section and fill following details.
•	Period for which the equipment is needed. (Maximum period one year from the start date.)
•	Mention items needed (Laptop, Monitors, etc)
•	Provide clear purpose for the request. 
","['3', '7', '8']","As per defined SLA, currently Requests are delivered with SLA of 72 Business Hours.",No fee required,Information Technology Department,IT.ServiceDesk@zu.ac.ae  or http://sanad.zu.ac.ae,,IT Equipment Request,IT 002,https://www.zu.ac.ae/mainhttps://zuportal.zu.ac.ae/sites/CSD/cs/IT%20Equipment%20Requests%20Library/Forms/template.xsn ,IT Equipment Request,https://eservices.zu.ac.ae/Service/en/Card/IT-Equipment-Request,https://eservices.zu.ac.ae/Content/Icons/82e13b0c-3e4f-406e-a468-cbf7ec4db957.png,"Request for additional IT equipment (Laptops, Monitors, etc) for more than 3 business days",39
Job Advertisement,SCO-E-2,,Employers can post jobs to students and graduates though campus announcements and Career Focus Portal.,"1. Login 
2. If you registered, log in with username and password 
3. If not registered, please register
4. Fill the job advertisement form under “Used form section”
5. Start the service
6. Attach job advertisement form 
7. Submit
8. Students Career Office will review the job advertisement form
9. Job advertisement is advertised to students/graduates
10. Companies to update the Career Service Unit on the hiring process within 48 hours of interview",['6'],One week from the job posting,N/A,"Zayed University - Dubai Campus, Zayed University -Abu Dhabi Campus",Hessa AlMuhairy - 04-4021445,,Job Advertisement,SCO-E-2,NA,Job Advertisement,https://eservices.zu.ac.ae/Service/en/Card/Job-Advertisement,https://eservices.zu.ac.ae/Content/Icons/2b3f814a-fb2e-42ad-b1c2-3b9b6a0d1447.png,Employers can post jobs to students and graduates though campus announcements and Career Focus Porta...,14
Library - Holding a book,LIBRARY,https://zu.account.worldcat.org/account,"Reserving a book that is currently checked out or on the shelf at another branch library. This book will be sent to the branch of your choice to be picked up. 
1.	Login to your account using ZU credentials
2.	Search for the item you want to request.
3.	Click on the title to view item detail.
4.	Select the place hold button.
5.	The Place Hold Request form appears.
6.	Select the copy.
7.	Select your pick-up location 
8.	Click Submit to complete the request.
You will get an email when the item is ready for pick-up.","1.	Login to your account using ZU credentials
2.	Search for the item you want to request.
3.	Click on the title to view item detail.
4.	Select the place hold button.
5.	The Place Hold Request form appears.
6.	Select the copy.
7.	Select your pick-up location 
8.	Click Submit to complete the request.
You will get an email when the item is ready for pick-up.","['7', '3', '5', '8']",Immediate ,No fee required / 0,https://www.zu.ac.ae/main/en/library/services.aspx,library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.
",Library - Holding a book,LIBRARY,https://www.zu.ac.ae/mainhttps://zu.account.worldcat.org/account,Library - Holding a book,https://eservices.zu.ac.ae/Service/en/Card/Library---Holding-a-book,https://eservices.zu.ac.ae/Content/Icons/c1473c82-0e16-42d0-aa0d-e6b637b01a8d.png,Reserving a book that is currently checked out or on the shelf at another branch library This book w...,71
Library - Remote Access,LIBRARY,https://www.zu.ac.ae/main/en/library/index.aspx,"Access our Electronic Resources off-campus via EZProxy
The Zayed University Library has implemented EZProxy to provide an easier way of accessing the library's electronic resources off-campus.
1.	On the ZU Library Homepage, Type in Your Keywords in the Search Box
2.	After typing your keywords, you will be directed to the search results page. 
3.	Click the Full-Text Online link
4.	Once you click the Full-Text Online link, you will be prompted to login through EZProxy. 
5.	Use your ZU username and password to continue.
6.	Congratulations! You now have access to the e-Resource!
7.	You can now continue and use all online resources including databases to find articles
","1.	On the ZU Library Homepage, Type in Your Keywords in the Search Box
2.	After typing your keywords, you will be directed to the search results page. 
3.	Click the Full-Text Online link
4.	Once you click the Full-Text Online link, you will be prompted to login through EZProxy. 
5.	Use your ZU username and password to continue.
6.	Congratulations! You now have access to the e-Resource!
7.	You can now continue and use all online resources including databases to find articles","['7', '3', '5', '8']",Immediate ,No fee required / 0,"https://www.zu.ac.ae/main/en/library/index.aspx
",library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.
",Library - Remote Access,LIBRARY,https://www.zu.ac.ae/mainhttps://www.zu.ac.ae/main/en/library/index.aspx,Library - Remote Access,https://eservices.zu.ac.ae/Service/en/Card/Library---Remote-Access,https://eservices.zu.ac.ae/Content/Icons/6e855f7c-a96a-4775-ba13-b0d21bb8f325.png,Access our Electronic Resources off-campus via EZProxy  The Zayed University Library has implemented...,69
Library - Renewing a book,LIBRARY,https://zu.account.worldcat.org/account,"Renewing your checked out library items.
1.	Login to your account using ZU credentials
2.	The system shows all your checked-out items.
3.	Click Renew button against the item you want to renew
The system shows the new due date. You will also get an email confirmation regarding this.","1.	Login to your account using ZU credentials
2.	The system shows all your checked-out items.
3.	Click Renew button against the item you want to renew
The system shows the new due date. You will also get an email confirmation regarding this.","['7', '3', '5', '8']",Immediate ,No fee required / 0,https://zu.account.worldcat.org/account,library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.

",Library - Renewing a book,LIBRARY,https://www.zu.ac.ae/mainhttps://zu.account.worldcat.org/account,Library - Renewing a book,https://eservices.zu.ac.ae/Service/en/Card/Library---Renewing-a-book,https://eservices.zu.ac.ae/Content/Icons/030f08a7-9069-43ac-9460-b311f3d4145d.png,Renewing your checked out library items  1	Login to your account using ZU credentials  2	The system ...,54
Lost and Found Service,CPDS-10,https://lostfound.zu.ac.ae/,"Report & Log all lost items
","Student or faculty/staff log in lost & found web, then report their missing item.
CPDS log in lost & found web, then log all lost & found items","['7', '3', '5', '6', '8']",NA,Free,CPDO office,Lost_and_found[@]zu.ac.ae.,,Lost and Found Service,CPDS-10,https://www.zu.ac.ae/mainhttps://lostfound.zu.ac.ae/,Lost and Found Service,https://eservices.zu.ac.ae/Service/en/Card/Lost-and-Found-Service,https://eservices.zu.ac.ae/Content/Icons/52e98037-c57b-493c-b3dd-7f2570e909a4.png,Report & Log all lost items  ,32
Master Programs - Attestation Letter in Arabic,GRAD-AL-AR,,Master Programs - Attestation Letter in Arabic,"•	Master students must fill up the e-service form
•	Master students must have a graduate status (MG)
•	Graduate Registrar Office check the financial status of the master student with finance department.
•	If the financial status is cleared, the transcript will be issued and sent to master students to their ZU email.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	If there is a library hold, Graduate Registrar Office requests the master student to clear the hold in order to proceed with the request. 
•	Master students must notify the Graduate Registrar Office once they clear their accounts
",['5'],2 Working Days,NA,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 Building - Second floor,Kalthoum Al Marzouqi - Email Kalthoum.AlMarzouqi@zu.ac.ae>- 025993562,,Master Programs - Attestation Letter in Arabic,GRAD-AL-AR,NA,Master Programs - Attestation Letter in Arabic,https://eservices.zu.ac.ae/Service/en/Card/Master-Programs---Attestation-Letter-in-Arabic,https://eservices.zu.ac.ae/Content/Icons/7b2f5a88-e738-48a1-9352-2e1ee3dc896c.png,Master Programs - Attestation Letter in Arabic,56
Master Programs - Sponsor Access System,GRAD-SA,https://sponsors.zu.ac.ae,Master Programs - Sponsor Access,"1. Register a eService Account.
2. Start the service. 
3. Provide the required information shown on the page then submit.
4. Wait for the confirmation email that your account has been approved.
5. Go to Sponsor Access System to access your account.
",['6'],NA,NA,Sponsors can access the academic data of their sponsored students from their premises   ,NA,,Master Programs - Sponsor Access System,GRAD-SA,https://www.zu.ac.ae/mainhttps://sponsors.zu.ac.ae,Master Programs - Sponsor Access System,https://eservices.zu.ac.ae/Service/en/Card/Master-Programs---Sponsor-Access-System,https://eservices.zu.ac.ae/Content/Icons/1ce73a63-11d9-411c-88b5-b02c78a0fe91.png,Master Programs - Sponsor Access,12
Master Programs - To Whom It May Concern Letter - Digital PDF,GRAD-TWIMC-D,,Master Programs - To Whom It May Concern Letter ,"•	Master students must fill up the e-service form
-	Name:
-	Student ID Number:
-	Program Name:
-	Cohort Number:
-	Message:
-	The message should include information about the letter layout.

•	Master students must have an active status (AS) and should be Registered at the time of requesting the letter
•	The request will go to Finance Department for financial verification  
•	The request is approved by Finance will move to Graduate Registrar to check the registration status and then issue the letter within 2 working days from receiving the approval from Finance 
•	If the financial status is not cleared, student will be informed to pay the outstanding amount, it the payment is not done within 2 working days the request will be rejected by Finance Department 
","['8', '5']",2 Working Days from Finance Department approval,N/A,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 Building - Second floor,025993331,,Master Programs - To Whom It May Concern Letter - Digital PDF,GRAD-TWIMC-D,NA,Master Programs - To Whom It May Concern Letter - Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Master-Programs---To-Whom-It-May-Concern-Letter---Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/90c6f917-dee4-4816-b192-56b57981f84b.png,Master Programs - To Whom It May Concern Letter ,17
Master Students - Academic Official Transcript,GRAD-AT,,Issuing an academic transcript upon Master student request,"•	Click Start (If you are already logged in).
•	If you are not logged in, please click Login.
•	Write your Program Name, Cohort Number on the comment box.
•	Submit 
•	Then, please check your email for the payment link

Payment Procedures:
	Your request is now issued against a fee of AED 52.5. Fee is inclusive of Value Added Tax(VAT)
	Payments can be made directly online, through the link received in your email
	Payment can be made also in either Dubai or Abu Dhabi Campuses; we accept payment on cash, credit cards and cheques
	Please review the eService details, check the Terms and Condition, and click Pay to proceed.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	Once the request is approved by Finance, Then the transcript will be issued within 3 working days.
•	Scanned copy with be sent through the e-service and original document will be ready for collection.
","['8', '5']",2  Working Days,52.5 AED,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Wafa Alwahedi - 025993112 - wafa.alwahedi[@]zu.ac.ae.,,Master Students - Academic Official Transcript,GRAD-AT,NA,Master Students - Academic Official Transcript,https://eservices.zu.ac.ae/Service/en/Card/Master-Students---Academic-Official-Transcript,https://eservices.zu.ac.ae/Content/Icons/d6e896cf-67d4-4d34-ab41-54a78917b674.png,Issuing an academic transcript upon Master student request,84
Master Students - Defer Admission - English Version ,GRAD-DA-EN,,Request to Defer Graduate Program Admission - English Version,"Click Login. 
•	Enter your ZU ID # and password to login. 
•	Click Start. 
•	Write your Full Name as per passport, ZU Student ID Number, Program Name, Academic Year, Admission Deferment Fee (5,000 AED) Receipt # on the comment box. 
•	The Graduate Registrar’s Office checks your financial status with the Finance Department. 
•	If your financial status is cleared, the Graduate Registrar’s Office defers your admission and notifies you of your deferred admission status by using your ZU email address.
•	If your financial status is not cleared, the Graduate Registrar's Office notifies you by using your ZU email address to clear your finances in order to proceed with your request. 
•	You must notify the Graduate Registrar’s Office once you have cleared your accounts.
",['8'],7 (Seven) Calendar Days,"5,000 AED",Zayed University Abu Dhabi Campus,"Kalthoum AlMarzouqi, Senior Graduate Programs Admissions Officer, Tel: +971-2-599-3562 Email: cgs.admissions[@]zu.ac.ae.. ",,Master Students - Defer Admission - English Version ,GRAD-DA-EN,NA,Master Students - Defer Admission - English Version ,https://eservices.zu.ac.ae/Service/en/Card/Master-Students---Defer-Admission---English-Version-,https://eservices.zu.ac.ae/Content/Icons/d56d6164-0da6-43b2-bb71-0ed14d499b42.png,Request to Defer Graduate Program Admission - English Version,78
